ID,活动,商品,订单号,用户ID,数量,单价,秒杀状态,订单状态,创建时间
2437,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113336586,120,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2436,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113336571,7,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2435,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113338832,1,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2434,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113336589,116,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2433,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113334272,97,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2432,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113336091,108,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2431,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113334002,95,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2430,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113334971,96,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2429,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113333343,93,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2428,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113337363,92,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2427,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113332659,94,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2426,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113339082,91,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2425,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113331325,90,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2424,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113333700,87,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2423,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113338514,89,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2422,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113334219,86,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2421,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113337091,85,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2420,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113339451,88,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2419,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113337085,81,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2418,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113336880,83,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2417,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113333007,84,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2416,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113337867,82,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2415,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113337829,70,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2414,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113333252,29,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2413,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113335221,13,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2412,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113332202,26,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2411,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113336549,27,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2410,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113333233,22,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2409,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113336103,25,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2408,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113339473,23,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2407,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113336895,21,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2406,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113336967,20,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2405,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113339593,24,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2404,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113332393,17,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2403,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113335034,19,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2402,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113334641,16,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2401,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113331722,125,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2400,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113335986,18,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2399,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113334588,58,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2398,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113333401,57,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2397,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113338583,55,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2396,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113336035,56,1,9.90,已超时,已取消,"2026-04-21 11:13:34"
2395,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113336471,47,1,9.90,已超时,已取消,"2026-04-21 11:13:33"
2394,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113335332,52,1,9.90,已超时,已取消,"2026-04-21 11:13:33"
2393,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113335678,54,1,9.90,已超时,已取消,"2026-04-21 11:13:33"
2392,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113338937,3,1,9.90,已超时,已取消,"2026-04-21 11:13:33"
2391,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113333725,51,1,9.90,已超时,已取消,"2026-04-21 11:13:33"
2390,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113333277,10,1,9.90,已超时,已取消,"2026-04-21 11:13:33"
2389,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113335643,11,1,9.90,已超时,已取消,"2026-04-21 11:13:33"
2388,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113334784,114,1,9.90,已超时,已取消,"2026-04-21 11:13:33"
2387,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113334657,122,1,9.90,已超时,已取消,"2026-04-21 11:13:33"
2386,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113335060,126,1,9.90,已超时,已取消,"2026-04-21 11:13:33"
2385,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113333136,9,1,9.90,已超时,已取消,"2026-04-21 11:13:33"
2384,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113339813,123,1,9.90,已超时,已取消,"2026-04-21 11:13:33"
2383,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113338727,113,1,9.90,已超时,已取消,"2026-04-21 11:13:33"
2382,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113337512,109,1,9.90,已超时,已取消,"2026-04-21 11:13:33"
2381,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113337584,112,1,9.90,已超时,已取消,"2026-04-21 11:13:33"
2380,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113331908,111,1,9.90,已超时,已取消,"2026-04-21 11:13:33"
2379,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113335223,110,1,9.90,已超时,已取消,"2026-04-21 11:13:33"
2378,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113335352,107,1,9.90,已超时,已取消,"2026-04-21 11:13:33"
2377,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113339755,103,1,9.90,已超时,已取消,"2026-04-21 11:13:33"
2376,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113334557,106,1,9.90,已超时,已取消,"2026-04-21 11:13:33"
2375,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113337849,105,1,9.90,已超时,已取消,"2026-04-21 11:13:33"
2374,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113331398,121,1,9.90,已超时,已取消,"2026-04-21 11:13:33"
2373,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113339190,101,1,9.90,已超时,已取消,"2026-04-21 11:13:33"
2372,压测专用活动-20260421,并发压测商品-100库存-复测-20260421,ORD202604211113335148,117,1,9.90,已超时,已取消,"2026-04-21 11:13:33"
